No.;Time;Source;Destination;Protocol;Length;Info
4406;60.259966;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4407;60.260538;192.168.43.84;112.215.207.44;UDP;75;60544  >  443 Len=33
4408;60.261248;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4409;60.262081;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4410;60.264599;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4411;60.264794;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4412;60.264794;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4413;60.265025;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4414;60.265499;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4415;60.265499;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4416;60.26618;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4417;60.266567;192.168.43.84;112.215.207.44;UDP;75;60544  >  443 Len=33
4418;60.266611;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4419;60.266611;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4420;60.267667;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4421;60.268002;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4422;60.268002;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4423;60.269041;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4424;60.270858;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4425;60.270858;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4426;60.270858;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4427;60.270858;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4428;60.270858;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4429;60.27109;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4430;60.271177;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4431;60.271177;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4432;60.271484;192.168.43.84;112.215.207.44;UDP;75;60544  >  443 Len=33
4433;60.271873;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4434;60.273456;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4435;60.273456;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4436;60.273591;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4437;60.273716;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4438;60.275638;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4439;60.275803;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4440;60.275971;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4441;60.276088;192.168.43.84;112.215.207.44;UDP;75;60544  >  443 Len=33
4442;60.288089;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4443;60.288089;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4444;60.288089;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4445;60.288089;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4446;60.288089;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4447;60.288334;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4448;60.288418;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4449;60.288418;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4450;60.288498;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4451;60.288559;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4452;60.288691;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4453;60.288789;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4454;60.28879;192.168.43.84;112.215.207.44;UDP;75;60544  >  443 Len=33
4455;60.28884;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4456;60.28884;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
